date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:21	461010/461010	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3a8b-708d2%22	http://ancientmessene.gr/content/monuments/images/091612185334.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/091612185334.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=6)
13:02:21	357741/357741	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3b68-5756d%22	http://ancientmessene.gr/content/monuments/images/091712190525.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/091712190525.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=7)
13:02:22	486977/486977	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3a7d-76e41%22	http://ancientmessene.gr/content/monuments/images/091612185224.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/091612185224.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=6)
13:02:23	11630/11630	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3f83-2d6e%22	http://ancientmessene.gr/content/monuments/thumbs/091712190525.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/091712190525.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=7)
13:02:23	10279/10279	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3f82-2827%22	http://ancientmessene.gr/content/monuments/thumbs/091712184921.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/091712184921.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=7)
13:02:25	9334/9334	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3f82-2476%22	http://ancientmessene.gr/content/monuments/thumbs/091712184854.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/091712184854.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=7)
13:02:51	695792/695792	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3a73-a9df0%22	http://ancientmessene.gr/content/monuments/images/091612185000.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/091612185000.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=6)
13:02:52	4804/4804	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3f9f-12c4%22	http://ancientmessene.gr/content/monuments/thumbs/09181204322.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204322.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:03:06	250089/250089	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3d31-3d0e9%22	http://ancientmessene.gr/content/monuments/images/09181204322.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204322.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:03:08	8910/8910	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3f9f-22ce%22	http://ancientmessene.gr/content/monuments/thumbs/09181204339.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204339.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:03:55	584063/584063	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3b52-8e97f%22	http://ancientmessene.gr/content/monuments/images/091712184921.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/091712184921.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=7)
13:03:57	10544/10544	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa0-2930%22	http://ancientmessene.gr/content/monuments/thumbs/09181204358.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204358.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:04:08	655142/655142	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3b55-9ff26%22	http://ancientmessene.gr/content/monuments/images/091712184854.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/091712184854.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=7)
13:04:10	7038/7038	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa0-1b7e%22	http://ancientmessene.gr/content/monuments/thumbs/09181204418.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204418.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:04:33	625220/625220	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3d42-98a44%22	http://ancientmessene.gr/content/monuments/images/09181204339.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204339.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:04:35	10165/10165	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa0-27b5%22	http://ancientmessene.gr/content/monuments/thumbs/09181204438.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204438.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:04:52	649275/649275	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3d43-9e83b%22	http://ancientmessene.gr/content/monuments/images/09181204358.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204358.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:04:54	9790/9790	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa0-263e%22	http://ancientmessene.gr/content/monuments/thumbs/09181204507.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204507.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:05:06	350308/350308	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3d4b-55864%22	http://ancientmessene.gr/content/monuments/images/09181204438.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204438.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:05:08	9767/9767	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa1-2627%22	http://ancientmessene.gr/content/monuments/thumbs/09181204652.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204652.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:05:24	537333/537333	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3d55-832f5%22	http://ancientmessene.gr/content/monuments/images/09181204418.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204418.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:05:25	6968/6968	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa1-1b38%22	http://ancientmessene.gr/content/monuments/thumbs/09181204731.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181204731.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:06:01	534197/534197	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3d56-826b5%22	http://ancientmessene.gr/content/monuments/images/09181204507.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181204507.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
